stream,site,lux,ln.lux,location,dummy,,,
Camp-E,Open,56853,10.94822427,Bottom,1,,,
Camp-E,Open,53926,10.89536802,Middle,1,,,
Camp-E,Open,58604,10.97855823,Top,1,5.6E+04,2.4E+03,1.4E+03
Camp-E,Closed,6717,8.812396905,Bottom,2,,,
Camp-E,Closed,29683,10.29832977,Middle,2,,,
Camp-E,Closed,16922,9.736369829,Top,2,1.8E+04,1.2E+04,6.6E+03
Geo-W,Open,35722,10.48352202,Bottom,3,,,
Geo-W,Open,43689,10.68485163,Middle,3,,,
Geo-W,Open,30965,10.34061281,Top,3,3.7E+04,6.4E+03,3.7E+03
Geo-W,Closed,5832,8.671115274,Bottom,4,,,
Geo-W,Closed,6545,8.786456678,Middle,4,,,
Geo-W,Closed,17059,9.744433203,Top,4,9.8E+03,6.3E+03,3.6E+03
Clear,Open,76280,11.24216606,Middle,5,,,
Clear,Open,54398,10.90408267,Top,5,,,
Clear,Closed,7396,8.908694593,Bottom,6,4.6E+04,3.5E+04,2.0E+04
Clear,Closed,6551,8.787372989,Middle,6,,,
Clear,Closed,9322,9.140132477,Top,6,,,
Forsyth,Open,59978,11.00173311,Bottom,7,2.5E+04,3.0E+04,1.7E+04
Forsyth,Open,57447,10.95861806,Middle,7,,,
Forsyth,Closed,6589,8.793156871,Bottom,8,,,
Forsyth,Closed,7031,8.858084222,Middle,8,2.4E+04,2.9E+04,1.7E+04
Forsyth,Closed,5814,8.668024081,Top,8,,,
Redrock,Open,57316,10.9563351,Middle,9,,,
Redrock,Open,50645,10.83259579,Top,9,3.8E+04,2.8E+04,1.6E+04
Redrock,Closed,9934,9.203718496,Bottom,10,,,
Redrock,Closed,2840,7.951559331,Middle,10,,,
Redrock,Closed,3606,8.190354404,Top,10,5.5E+03,3.9E+03,2.2E+03
