year,stream,canopy,bankfull,wetted,CC,DO,cond,pH,CDOM,dummy
2018,Camp-East,Closed,1.06,1.06,96.88,9.91,164.4,7.51,43,1
2018,Camp-East,Closed,0.9,0.9,83.33,9.85,164.1,7.37,42,1
2018,Camp-East,Closed,1.16,1.16,89.06,9.81,163.4,7.37,42,1
2018,Camp-East,Closed,1.16,1.16,,,,,,1
2018,Camp-East,Closed,1,1,,,,,,1
2018,Camp-East,Closed,1.52,1.3,,,,,,1
2018,Camp-East,Open,0.83,0.83,22.14,9.31,164,7.36,41,2
2018,Camp-East,Open,1.41,1.38,23.7,9.57,164.1,7.37,32,2
2018,Camp-East,Open,1.08,1.08,3.13,9.48,164.2,7.38,40,2
2018,Camp-East,Open,2.36,1.99,,,,,,2
2018,Camp-East,Open,2.5,1.5,,,,,,2
2018,Camp-East,Open,1.91,1.47,,,,,,2
2018,Clear,Closed,2.26,1.51,98.7,9.24,286.1,7.42,15,3
2018,Clear,Closed,1.87,1.35,87.24,9.08,287,7.49,15,3
2018,Clear,Closed,1.85,1.6,97.14,9.09,287.1,7.46,14,3
2018,Clear,Closed,2.24,2.09,,,,,,3
2018,Clear,Closed,2.38,1.47,,,,,,3
2018,Clear,Closed,1.95,1.4,,,,,,3
2018,Clear,Open,9.5,1.08,0.26,8.93,291,7.53,11,4
2018,Clear,Open,8.7,1.13,0.78,8.75,291,7.49,14,4
2018,Clear,Open,9.6,1.18,16.41,8.75,292,7.54,12,4
2018,Clear,Open,11.1,1.44,,,,,,4
2018,Clear,Open,8.9,0.98,,,,,,4
2018,Clear,Open,9.8,0.92,,,,,,4
2018,Forsyth,Closed,2.83,1.67,84.64,11.85,57.3,7.16,2,5
2018,Forsyth,Closed,2.36,1.82,92.71,11.87,58.3,7.22,3,5
2018,Forsyth,Closed,2.95,1.51,83.85,11.72,55.6,7.11,2,5
2018,Forsyth,Closed,4.6,1.65,,,,,,5
2018,Forsyth,Closed,3.2,0.92,,,,,,5
2018,Forsyth,Closed,3.45,2.04,,,,,,5
2018,Forsyth,Open,7,1.26,0,11.96,49.9,7.41,6,6
2018,Forsyth,Open,4.7,1.5,0,11.85,58.2,7.39,2,6
2018,Forsyth,Open,6.7,1.74,4.95,11.67,39.4,7.33,12,6
2018,Forsyth,Open,6.4,1.79,,,,,,6
2018,Forsyth,Open,5.6,2.36,,,,,,6
2018,Forsyth,Open,5.2,2.28,,,,,,6
2018,Geo-West,Closed,2.05,1.16,88.02,9.79,250.8,7.41,25,7
2018,Geo-West,Closed,2.25,0.83,88.28,9.69,245.5,7.31,32,7
2018,Geo-West,Closed,3.04,0.57,87.5,9.44,197.3,7.31,34,7
2018,Geo-West,Closed,2.86,0.74,,,,,,7
2018,Geo-West,Closed,3.35,1.4,,,,,,7
2018,Geo-West,Closed,3.04,1.03,,,,,,7
2018,Geo-West,Open,4.34,0.4,35.16,9.8,204.6,7.31,31,8
2018,Geo-West,Open,3.76,0.6,11.2,9.77,203.7,7.24,32,8
2018,Geo-West,Open,5.6,0.64,41.15,9.75,194,7.24,24,8
2018,Geo-West,Open,6.2,0.4,,,,,,8
2018,Geo-West,Open,6.85,0.53,,,,,,8
2018,Geo-West,Open,7.4,0.3,,,,,,8
2018,Red Rock,Closed,3.22,1.64,96.09,11.86,33.6,7.19,1.5,9
2018,Red Rock,Closed,2.48,0.72,90.63,11.99,44.1,7.26,3,9
2018,Red Rock,Closed,2.9,0.78,94.53,11.92,36.2,7.19,2,9
2018,Red Rock,Closed,2.86,0.92,,,,,,9
2018,Red Rock,Closed,3.41,1.6,,,,,,9
2018,Red Rock,Closed,4.32,1.76,,,,,,9
2018,Red Rock,Open,6.35,1.72,3.39,12.27,17.4,6.59,15,10
2018,Red Rock,Open,6.7,2.73,0,12.12,36.7,6.84,4,10
2018,Red Rock,Open,4.35,0.95,7.29,12.04,43.1,6.56,2,10
2018,Red Rock,Open,4.15,1.47,,,,,,10
2018,Red Rock,Open,4.2,1,,,,,,10
2018,Red Rock,Open,5.3,1.1,,,,,,10
