year,stream,canopy,site,reach,CC,discharge,bankfull,wetted,slope,d50,dry18,dry19,DO,cond,pH,CDOM,Prich,Pbiovol,chla,Irich,Iden,Ibio
2018,Camp-East,Closed,CMP-E-clsd,15,89.76,na,1.13,1.10,1,31,0,88,9.86,163.97,7.42,42.33,16,17854.49,1.57,25,3554,727
2018,Camp-East,Open,CMP-E-open,15,16.32,0.0125,1.68,1.38,2,23,0,94,9.45,164.10,7.37,37.67,28,52745.60,5.71,27,5763,568
2018,Clear,Closed,CLR-clsd,23,94.36,na,2.09,1.57,2,23,0,0,9.14,286.73,7.46,14.67,7,3.63,0.17,22,686,142
2018,Clear,Open,CLR-open,23,5.82,0.0384,9.60,1.12,3,27,0,0,8.81,291.33,7.52,12.33,16,1.19,0.32,21,1235,211
2018,Forsyth,Closed,FOR-clsd,18,87.07,na,3.23,1.60,2,29,0,39,11.81,57.07,7.16,2.33,11,359.90,9.40,21,4697,677
2018,Forsyth,Open,FOR-open,18,1.65,0.0173,5.93,1.82,1,32,8,52,11.83,49.17,7.38,6.67,10,1283.59,20.98,19,5631,1278
2018,Geo-West,Closed,GEO-W-clsd,10,87.93,na,2.77,0.96,1,1,0,0,9.64,231.20,7.34,30.33,10,5534.18,1.15,27,3859,266
2018,Geo-West,Open,GEO-W-open,10,29.17,0.0100,5.69,0.48,1,5,0,0,9.77,200.77,7.26,29.00,4,32230.23,0.61,26,4018,298
2018,Red Rock,Closed,RED-clsd,15,93.75,na,3.20,1.24,5,11,35,62,11.92,37.97,7.21,2.17,1,0.02,4.46,20,14456,493
2018,Red Rock,Open,RED-open,15,3.56,0.0103,5.18,1.50,8,39,47,83,12.14,32.40,6.66,7.00,7,71.49,21.44,18,10614,1144
